"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.49","192.168.1.1","DNS","87","Standard query 0xd27f A drive.google.com OPT"
"2","0.000355","192.168.1.49","192.168.1.1","DNS","87","Standard query 0x039c HTTPS drive.google.com OPT"
"3","0.017320","192.168.1.1","192.168.1.49","DNS","103","Standard query response 0xd27f A drive.google.com A 142.251.36.14 OPT"
"4","0.020622","192.168.1.1","192.168.1.49","DNS","137","Standard query response 0x039c HTTPS drive.google.com SOA ns1.google.com OPT"
"5","0.024155","192.168.1.49","142.251.36.14","QUIC","1292","Initial, DCID=d618a7fdf55abfbf, PKN: 1, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO"
"6","0.033580","192.168.1.49","192.168.1.1","DNS","90","Standard query 0xc6fd HTTPS accounts.google.com OPT"
"7","0.039744","192.168.1.49","74.125.71.84","QUIC","1292","Initial, DCID=39c2a850f76549cc, PKN: 1, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PING, PING, CRYPTO, PING, PADDING"
"8","0.045551","142.251.36.14","192.168.1.49","QUIC","1292","Initial, SCID=f618a7fdf55abfbf, PKN: 1, ACK, CRYPTO, PADDING"
"9","0.047647","192.168.1.49","142.251.36.14","QUIC","1292","Initial, DCID=f618a7fdf55abfbf, PKN: 2, ACK, PADDING"
"10","0.049848","142.251.36.14","192.168.1.49","QUIC","1292","Handshake, SCID=f618a7fdf55abfbf, PKN: 2, CRYPTO"
"11","0.050633","142.251.36.14","192.168.1.49","QUIC","1292","Handshake, SCID=f618a7fdf55abfbf, PKN: 3, CRYPTO"
"12","0.050919","192.168.1.49","142.251.36.14","QUIC","81","Handshake, DCID=f618a7fdf55abfbf, PKN: 3, ACK"
"13","0.052753","192.168.1.1","192.168.1.49","DNS","140","Standard query response 0xc6fd HTTPS accounts.google.com SOA ns1.google.com OPT"
