"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","TechnicolorD_46:6b:50","Broadcast","ARP","42","Who has 192.168.1.56? Tell 192.168.1.1"
"2","0.208347501","192.168.1.11","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"3","1.134183561","192.168.1.49","192.168.1.1","DNS","87","Standard query 0xb358 HTTPS drive.google.com OPT"
"4","1.140717273","192.168.1.49","142.251.36.14","QUIC","1292","Initial, DCID=d3af071ccf86756e, PKN: 1, CRYPTO, PING, PING, PING, PADDING, PING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO"
"5","1.150573675","192.168.1.49","192.168.1.1","DNS","90","Standard query 0x8577 HTTPS accounts.google.com OPT"
"6","1.151081282","192.168.1.1","192.168.1.49","DNS","137","Standard query response 0xb358 HTTPS drive.google.com SOA ns1.google.com OPT"
"7","1.156016898","192.168.1.49","64.233.184.84","QUIC","1292","Initial, DCID=f73928640b1c6b0f, PKN: 1, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING"
"8","1.159726796","142.251.36.14","192.168.1.49","QUIC","1292","Initial, SCID=f3af071ccf86756e, PKN: 1, ACK, CRYPTO, PADDING"
"9","1.161222346","192.168.1.49","142.251.36.14","QUIC","1292","Initial, DCID=f3af071ccf86756e, PKN: 2, ACK, PADDING"
"10","1.162503237","142.251.36.14","192.168.1.49","QUIC","1292","Handshake, SCID=f3af071ccf86756e, PKN: 2, CRYPTO"
"11","1.163670857","192.168.1.49","142.251.36.14","QUIC","82","Handshake, DCID=f3af071ccf86756e, PKN: 3, ACK"
"12","1.167678086","142.251.36.14","192.168.1.49","QUIC","1292","Handshake, SCID=f3af071ccf86756e, PKN: 3, CRYPTO"
"13","1.168617582","192.168.1.1","192.168.1.49","DNS","140","Standard query response 0x8577 HTTPS accounts.google.com SOA ns1.google.com OPT"
"14","1.168938594","192.168.1.49","142.251.36.14","QUIC","82","Handshake, DCID=f3af071ccf86756e, PKN: 4, ACK"
"15","1.182810397","142.251.36.14","192.168.1.49","QUIC","1292","Handshake, SCID=f3af071ccf86756e, PKN: 4, CRYPTO"
"16","1.184097525","192.168.1.49","142.251.36.14","QUIC","82","Handshake, DCID=f3af071ccf86756e, PKN: 5, ACK"
"17","1.187709909","142.251.36.14","192.168.1.49","HTTP3","896","Protected Payload (KP0), PKN: 6, STREAM(3), SETTINGS"
"18","1.188866808","192.168.1.49","142.251.36.14","QUIC","82","Handshake, DCID=f3af071ccf86756e, PKN: 6, ACK"
"19","1.188928843","64.233.184.84","192.168.1.49","QUIC","1292","Initial, SCID=f73928640b1c6b0f, PKN: 1, ACK, CRYPTO, PADDING"
"20","1.190502463","192.168.1.49","64.233.184.84","QUIC","1292","Initial, DCID=f73928640b1c6b0f, PKN: 2, ACK, PADDING"
"21","1.191765084","192.168.1.49","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"22","1.193375947","64.233.184.84","192.168.1.49","QUIC","1292","Handshake, SCID=f73928640b1c6b0f, PKN: 2, CRYPTO"
"23","1.194690110","192.168.1.49","64.233.184.84","QUIC","82","Handshake, DCID=f73928640b1c6b0f, PKN: 3, ACK"
"24","1.195889479","64.233.184.84","192.168.1.49","QUIC","1292","Handshake, SCID=f73928640b1c6b0f, PKN: 3, CRYPTO"
"25","1.197086847","192.168.1.49","64.233.184.84","QUIC","82","Handshake, DCID=f73928640b1c6b0f, PKN: 4, ACK"
"26","1.197312737","192.168.1.49","142.251.36.14","TCP","74","35652  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1094419071 TSecr=0 WS=128"
"27","1.198491825","192.168.1.49","142.251.36.14","QUIC","79","Handshake, DCID=f3af071ccf86756e, PKN: 8, PADDING, PING"
"28","1.200447623","192.168.1.49","142.251.36.14","QUIC","125","Handshake, DCID=f3af071ccf86756e, PKN: 9, CRYPTO"
"29","1.200718079","192.168.1.49","142.251.36.14","HTTP3","112","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 10, STREAM(2), SETTINGS"
"30","1.201475464","192.168.1.49","142.251.36.14","HTTP3","1288","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 11, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10)"
"31","1.201502230","192.168.1.49","142.251.36.14","HTTP3","630","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 12, STREAM(10), STREAM(0), HEADERS: GET /drive/my-drive"
"32","1.217805695","142.251.36.14","192.168.1.49","QUIC","1292","Handshake, SCID=f3af071ccf86756e, PKN: 8, CRYPTO"
"33","1.217975537","192.168.1.49","142.251.36.14","HTTP3","202","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 14, STREAM(2), SETTINGS"
"34","1.232940477","142.251.36.14","192.168.1.49","QUIC","83","Handshake, SCID=f3af071ccf86756e, PKN: 9, ACK"
"35","1.233526535","142.251.36.14","192.168.1.49","TCP","74","443  >  35652 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=1082836459 TSecr=1094419071 WS=256"
"36","1.233556594","192.168.1.49","142.251.36.14","TCP","66","35652  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1094419107 TSecr=1082836459"
"37","1.233872284","192.168.1.49","142.251.36.14","TLSv1.3","666","Client Hello (SNI=drive.google.com)"
"38","1.237511873","142.251.36.14","192.168.1.49","QUIC","986","Protected Payload (KP0), PKN: 10, CRYPTO"
"39","1.237512062","142.251.36.14","192.168.1.49","QUIC","163","Protected Payload (KP0), PKN: 11, DONE, NT, NCI"
"40","1.237512095","142.251.36.14","192.168.1.49","QUIC","65","Protected Payload (KP0), PKN: 12, ACK"
"41","1.238226554","142.251.36.14","192.168.1.49","HTTP3","69","Protected Payload (KP0), PKN: 13, ACK, STREAM(7)"
"42","1.238256569","192.168.1.49","142.251.36.14","QUIC","75","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 15, ACK"
"43","1.238346233","192.168.1.49","142.251.36.14","QUIC","75","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 16, ACK"
"44","1.238539019","192.168.1.49","142.251.36.14","QUIC","75","Protected Payload (KP0), DCID=f3af071ccf86756e, PKN: 17, ACK"
"45","1.238969658","142.251.36.14","192.168.1.49","QUIC","67","Protected Payload (KP0), PKN: 14, ACK"
"46","1.241884170","64.233.184.84","192.168.1.49","QUIC","1292","Handshake, SCID=f73928640b1c6b0f, PKN: 4, CRYPTO"
"47","1.243113677","192.168.1.49","64.233.184.84","QUIC","82","Handshake, DCID=f73928640b1c6b0f, PKN: 5, ACK"
"48","1.243862302","64.233.184.84","192.168.1.49","HTTP3","896","Protected Payload (KP0), PKN: 6, STREAM(3), SETTINGS"
"49","1.245268362","192.168.1.49","64.233.184.84","QUIC","82","Handshake, DCID=f73928640b1c6b0f, PKN: 6, ACK"
"50","1.248144091","192.168.1.49","64.233.184.84","QUIC","125","Handshake, DCID=f73928640b1c6b0f, PKN: 7, CRYPTO"
"51","1.248471727","192.168.1.49","64.233.184.84","HTTP3","114","Protected Payload (KP0), DCID=f73928640b1c6b0f, PKN: 8, STREAM(2), SETTINGS"
"52","1.248777902","192.168.1.49","64.233.184.84","HTTP3","1116","Protected Payload (KP0), DCID=f73928640b1c6b0f, PKN: 9, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: POST /ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard, DATA"
"53","1.272827138","142.251.36.14","192.168.1.49","TCP","66","443  >  35652 [ACK] Seq=1 Ack=601 Win=65024 Len=0 TSval=1082836499 TSecr=1094419107"
"54","1.277855544","142.251.36.14","192.168.1.49","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"55","1.277919323","192.168.1.49","142.251.36.14","TCP","66","35652  >  443 [ACK] Seq=601 Ack=1401 Win=63104 Len=0 TSval=1094419151 TSecr=1082836501"
"56","1.280730084","142.251.36.14","192.168.1.49","TCP","1466","443  >  35652 [PSH, ACK] Seq=1401 Ack=601 Win=65024 Len=1400 TSval=1082836501 TSecr=1094419107 [TCP segment of a reassembled PDU]"
"57","1.280745066","192.168.1.49","142.251.36.14","TCP","66","35652  >  443 [ACK] Seq=601 Ack=2801 Win=63104 Len=0 TSval=1094419154 TSecr=1082836501"
"58","1.285675211","142.251.36.14","192.168.1.49","TCP","1466","443  >  35652 [ACK] Seq=2801 Ack=601 Win=65024 Len=1400 TSval=1082836501 TSecr=1094419107 [TCP segment of a reassembled PDU]"
