"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.027743","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4025:402::54","TLSv1.3","603","Client Hello (SNI=accounts.google.com)"
"22","0.036680","2a00:1450:4025:402::54","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"23","0.036680","2a00:1450:4025:402::54","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","951","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"37","0.051137","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4025:402::54","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"55","0.063047","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200e","TLSv1.3","654","Client Hello (SNI=drive.google.com)"
"67","0.099658","2a00:1450:4002:414::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"69","0.099659","2a00:1450:4002:414::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2223","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"73","0.100221","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200e","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"270","0.498501","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:802::2003","TLSv1.3","653","Client Hello (SNI=www.gstatic.com)"
"287","0.507623","2a00:1450:400e:802::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"299","0.508747","2a00:1450:400e:802::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2153","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"306","0.509123","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:802::2003","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"685","0.719652","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200a","TLSv1.3","669","Client Hello (SNI=content-autofill.googleapis.com)"
"700","0.756413","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"702","0.756414","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","115","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"706","0.756993","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"860","9.753017","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","TLSv1.3","609","Client Hello (SNI=optimizationguide-pa.googleapis.com)"
"862","9.761853","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"865","9.762359","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1326","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"868","9.769391","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"889","10.815460","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:810::200e","TLSv1.3","621","Client Hello (SNI=play.google.com)"
"891","10.825648","2a00:1450:400e:810::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"892","10.825648","2a00:1450:400e:810::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3266","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"895","10.833444","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:810::200e","TLSv1.3","150","Change Cipher Spec, Finished"
"923","10.874219","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:810::200e","TLSv1.3","603","Client Hello (SNI=play.google.com)"
"929","10.884657","2a00:1450:400e:810::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"930","10.884657","2a00:1450:400e:810::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3267","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"933","10.886317","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:810::200e","TLSv1.3","150","Change Cipher Spec, Finished"
"1232","32.926814","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80d::200e","TLSv1.3","603","Client Hello (SNI=accounts.youtube.com)"
"1235","32.940288","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"1236","32.940289","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3435","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"1240","32.949910","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80d::200e","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"1248","32.989658","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"1249","32.989658","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"1267","33.012819","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400c:c06::5e","TLSv1.3","688","Client Hello (SNI=accounts.google.be)"
