"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.027743","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4025:402::54","TLSv1.3","603","Client Hello (SNI=accounts.google.com)"
"22","0.036680","2a00:1450:4025:402::54","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"23","0.036680","2a00:1450:4025:402::54","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","951","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"37","0.051137","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4025:402::54","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"42","0.054294","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4025:402::54","HTTP2","178","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"44","0.059479","2a00:1450:4025:402::54","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","1052","SETTINGS[0], WINDOW_UPDATE[0]"
"45","0.059629","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4025:402::54","HTTP2","117","SETTINGS[0]"
"50","0.062700","2a00:1450:4025:402::54","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","117","SETTINGS[0]"
"55","0.063047","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200e","TLSv1.3","654","Client Hello (SNI=drive.google.com)"
"67","0.099658","2a00:1450:4002:414::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"69","0.099659","2a00:1450:4002:414::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2223","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"73","0.100221","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200e","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"77","0.119786","2a00:1450:4002:414::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","1046","SETTINGS[0], WINDOW_UPDATE[0]"
"270","0.498501","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:802::2003","TLSv1.3","653","Client Hello (SNI=www.gstatic.com)"
"287","0.507623","2a00:1450:400e:802::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"299","0.508747","2a00:1450:400e:802::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2153","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"306","0.509123","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:802::2003","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"364","0.517661","2a00:1450:400e:802::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","1044","SETTINGS[0], WINDOW_UPDATE[0]"
"685","0.719652","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200a","TLSv1.3","669","Client Hello (SNI=content-autofill.googleapis.com)"
"700","0.756413","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"702","0.756414","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","115","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"706","0.756993","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"723","0.776533","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","1076","SETTINGS[0], WINDOW_UPDATE[0]"
"860","9.753017","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","TLSv1.3","609","Client Hello (SNI=optimizationguide-pa.googleapis.com)"
"862","9.761853","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"865","9.762359","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1326","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"868","9.769391","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"869","9.769802","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","HTTP2","178","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"870","9.770270","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","HTTP2","402","HEADERS[1]: POST /v1:GetModels?key=AIzaSyDGQzx0c0ptZVDriLi9Wblo2voeLnmPq-o"
"871","9.770344","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","HTTP2","876","DATA[1]"
"872","9.777622","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","1084","SETTINGS[0], WINDOW_UPDATE[0]"
"873","9.777623","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","117","SETTINGS[0]"
"876","9.778145","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","HTTP2","117","SETTINGS[0]"
"877","9.788273","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","320","HEADERS[1]: 403 Forbidden"
"878","9.788273","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","627","DATA[1]"
"879","9.788273","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","HTTP2","187","DATA[1]"
