"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","QUIC","1292","Initial, DCID=fbf1bda6e245e084, PKN: 1, PING, PING, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO"
"2","0.007902344","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","137","0-RTT, DCID=fbf1bda6e245e084, PKN: 2, STREAM(2), SETTINGS"
"3","0.061809134","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","1292","Handshake, SCID=fbf1bda6e245e084, PKN: 2, CRYPTO"
"4","0.062422320","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","690","Protected Payload (KP0), PKN: 4, CRYPTO"
"5","0.062422633","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","87","Protected Payload (KP0), PKN: 5, ACK"
"6","0.063025952","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","QUIC","1292","Handshake, DCID=fbf1bda6e245e084, PKN: 3, ACK, CRYPTO"
"7","0.063242096","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","QUIC","93","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 5, ACK"
"8","0.063858721","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","1288","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 6, STREAM(2), PRIORITY_UPDATE, STREAM(10)"
"9","0.063900444","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","1279","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 7, STREAM(10), STREAM(0), HEADERS: POST /log?format=json&hasfast=true&authuser=0, DATA"
"10","0.064283064","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","1288","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 8, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(4), HEADERS: POST /log?format=json&hasfast=true&authuser=0"
"11","0.064320324","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","685","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 9, STREAM(4), DATA"
"12","0.112260203","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","182","Protected Payload (KP0), PKN: 6, DONE, NT, NCI"
"13","0.113257426","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","87","Protected Payload (KP0), PKN: 7, ACK"
"14","0.113257529","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","HTTP3","91","Protected Payload (KP0), PKN: 8, ACK, STREAM(7)"
"15","0.113257587","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","HTTP3","91","Protected Payload (KP0), PKN: 9, ACK, STREAM(7)"
"16","0.113257647","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","HTTP3","908","Protected Payload (KP0), PKN: 10, ACK, STREAM(11), STREAM(4), HEADERS: 200 OK, DATA"
"17","0.113257702","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","135","Protected Payload (KP0), PKN: 11, PADDING, STREAM(4)"
"18","0.113257761","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","HTTP3","680","Protected Payload (KP0), PKN: 12, STREAM(11), STREAM(0), HEADERS: 200 OK, DATA"
"19","0.113257817","2a00:1450:400e:800::200e","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","QUIC","118","Protected Payload (KP0), PKN: 13, PADDING, STREAM(0)"
"20","0.113515074","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","QUIC","94","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 10, ACK"
"21","0.113807294","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","97","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 11, ACK, STREAM(6)"
"22","0.113967713","2a02:a03f:d44e:cf00:f060:b90c:491d:4943","2a00:1450:400e:800::200e","HTTP3","97","Protected Payload (KP0), DCID=fbf1bda6e245e084, PKN: 12, ACK, STREAM(6)"
